Using CUDA: True

Observation shape is (4, 84, 84)
Flattened layer size is 6400
Flattened layer size is 6400
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 32, 84, 84]           1,184
              ReLU-2           [-1, 32, 84, 84]               0
         MaxPool2d-3           [-1, 32, 42, 42]               0
            Conv2d-4           [-1, 64, 42, 42]          18,496
              ReLU-5           [-1, 64, 42, 42]               0
         MaxPool2d-6           [-1, 64, 21, 21]               0
            Conv2d-7           [-1, 64, 21, 21]          36,928
              ReLU-8           [-1, 64, 21, 21]               0
         MaxPool2d-9           [-1, 64, 10, 10]               0
          Flatten-10                 [-1, 6400]               0
           Linear-11                  [-1, 512]       3,277,312
             ReLU-12                  [-1, 512]               0
           Linear-13                    [-1, 4]           2,052
           Linear-14                  [-1, 512]       3,277,312
             ReLU-15                  [-1, 512]               0
           Linear-16                    [-1, 1]             513
================================================================
Total params: 6,613,797
Trainable params: 6,613,797
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.11
Forward/backward pass size (MB): 6.36
Params size (MB): 25.23
Estimated Total Size (MB): 31.70
----------------------------------------------------------------
None
Collecting data without training on step 100
Collecting data without training on step 200
Collecting data without training on step 300
Episode 10 | Step 1704 | Exploration rate 0.99         | Mean Reward 0.9         | Max Reward 2.0
Episode 20 | Step 3240 | Exploration rate 0.98         | Mean Reward 0.6         | Max Reward 2.0
Episode 30 | Step 5071 | Exploration rate 0.97         | Mean Reward 1.4         | Max Reward 3.0
Episode 40 | Step 7047 | Exploration rate 0.97         | Mean Reward 1.6         | Max Reward 7.0
Episode 50 | Step 9030 | Exploration rate 0.96         | Mean Reward 1.7         | Max Reward 3.0
Episode 60 | Step 11073 | Exploration rate 0.95         | Mean Reward 1.6         | Max Reward 5.0
Episode 70 | Step 12757 | Exploration rate 0.94         | Mean Reward 1.0         | Max Reward 2.0
Episode 80 | Step 14442 | Exploration rate 0.93         | Mean Reward 0.9         | Max Reward 3.0
Episode 90 | Step 16316 | Exploration rate 0.92         | Mean Reward 1.4         | Max Reward 3.0
Episode 100 | Step 18004 | Exploration rate 0.91         | Mean Reward 0.9         | Max Reward 3.0
Episode 110 | Step 19913 | Exploration rate 0.91         | Mean Reward 1.4         | Max Reward 4.0
Episode 120 | Step 21862 | Exploration rate 0.90         | Mean Reward 1.7         | Max Reward 7.0
Episode 130 | Step 23709 | Exploration rate 0.89         | Mean Reward 1.2         | Max Reward 3.0
Episode 140 | Step 25440 | Exploration rate 0.88         | Mean Reward 0.9         | Max Reward 3.0
Episode 150 | Step 27227 | Exploration rate 0.87         | Mean Reward 1.0         | Max Reward 3.0
Episode 160 | Step 29020 | Exploration rate 0.86         | Mean Reward 1.0         | Max Reward 3.0
Episode 170 | Step 30725 | Exploration rate 0.86         | Mean Reward 0.9         | Max Reward 4.0
Episode 180 | Step 32712 | Exploration rate 0.85         | Mean Reward 1.4         | Max Reward 4.0
Episode 190 | Step 34490 | Exploration rate 0.84         | Mean Reward 1.1         | Max Reward 3.0
Episode 200 | Step 36443 | Exploration rate 0.83         | Mean Reward 1.6         | Max Reward 5.0
Episode 210 | Step 38198 | Exploration rate 0.83         | Mean Reward 0.9         | Max Reward 4.0
Episode 220 | Step 40025 | Exploration rate 0.82         | Mean Reward 1.2         | Max Reward 4.0
Episode 230 | Step 41951 | Exploration rate 0.81         | Mean Reward 1.4         | Max Reward 2.0
Episode 240 | Step 43705 | Exploration rate 0.80         | Mean Reward 0.9         | Max Reward 3.0
Episode 250 | Step 45572 | Exploration rate 0.80         | Mean Reward 1.4         | Max Reward 4.0
Episode 260 | Step 47579 | Exploration rate 0.79         | Mean Reward 1.7         | Max Reward 4.0
Episode 270 | Step 49499 | Exploration rate 0.78         | Mean Reward 1.5         | Max Reward 5.0
Episode 280 | Step 51326 | Exploration rate 0.77         | Mean Reward 1.0         | Max Reward 3.0
Episode 290 | Step 53087 | Exploration rate 0.77         | Mean Reward 1.1         | Max Reward 4.0
Episode 300 | Step 54873 | Exploration rate 0.76         | Mean Reward 1.2         | Max Reward 3.0
Episode 310 | Step 56596 | Exploration rate 0.75         | Mean Reward 1.0         | Max Reward 3.0
Episode 320 | Step 58833 | Exploration rate 0.75         | Mean Reward 2.3         | Max Reward 4.0
Episode 330 | Step 60951 | Exploration rate 0.74         | Mean Reward 2.0         | Max Reward 5.0
Episode 340 | Step 62708 | Exploration rate 0.73         | Mean Reward 1.0         | Max Reward 5.0
Episode 350 | Step 64426 | Exploration rate 0.72         | Mean Reward 0.7         | Max Reward 2.0
Episode 360 | Step 66431 | Exploration rate 0.72         | Mean Reward 1.6         | Max Reward 4.0
Episode 370 | Step 68502 | Exploration rate 0.71         | Mean Reward 1.9         | Max Reward 6.0
Episode 380 | Step 70216 | Exploration rate 0.70         | Mean Reward 1.0         | Max Reward 4.0
Episode 390 | Step 72119 | Exploration rate 0.70         | Mean Reward 1.6         | Max Reward 4.0
Episode 400 | Step 74025 | Exploration rate 0.69         | Mean Reward 1.6         | Max Reward 3.0
Episode 410 | Step 76263 | Exploration rate 0.68         | Mean Reward 2.4         | Max Reward 7.0
Episode 420 | Step 78155 | Exploration rate 0.68         | Mean Reward 1.7         | Max Reward 4.0
Episode 430 | Step 80184 | Exploration rate 0.67         | Mean Reward 1.9         | Max Reward 5.0
Episode 440 | Step 82041 | Exploration rate 0.66         | Mean Reward 1.5         | Max Reward 3.0
Episode 450 | Step 84040 | Exploration rate 0.66         | Mean Reward 1.9         | Max Reward 4.0
Episode 460 | Step 85971 | Exploration rate 0.65         | Mean Reward 1.7         | Max Reward 3.0
Episode 470 | Step 87900 | Exploration rate 0.64         | Mean Reward 1.8         | Max Reward 6.0
Episode 480 | Step 89705 | Exploration rate 0.64         | Mean Reward 1.2         | Max Reward 4.0
Episode 490 | Step 91309 | Exploration rate 0.63         | Mean Reward 0.7         | Max Reward 2.0
Episode 500 | Step 93433 | Exploration rate 0.63         | Mean Reward 2.4         | Max Reward 5.0
