Flattened layer size is 6400
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 32, 84, 84]           1,184
              ReLU-2           [-1, 32, 84, 84]               0
         MaxPool2d-3           [-1, 32, 42, 42]               0
            Conv2d-4           [-1, 64, 42, 42]          18,496
              ReLU-5           [-1, 64, 42, 42]               0
         MaxPool2d-6           [-1, 64, 21, 21]               0
            Conv2d-7           [-1, 64, 21, 21]          36,928
              ReLU-8           [-1, 64, 21, 21]               0
         MaxPool2d-9           [-1, 64, 10, 10]               0
          Flatten-10                 [-1, 6400]               0
           Linear-11                  [-1, 512]       3,277,312
             ReLU-12                  [-1, 512]               0
           Linear-13                    [-1, 4]           2,052
================================================================
Total params: 3,335,972
Trainable params: 3,335,972
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.11
Forward/backward pass size (MB): 6.35
Params size (MB): 12.73
Estimated Total Size (MB): 19.18
----------------------------------------------------------------
None
Flattened layer size is 6400
Using CUDA: True

Collecting data without training on step 100
Collecting data without training on step 200
Collecting data without training on step 300
Episode 10 | Step 1847 | Exploration rate 0.99         | Mean Reward 1.3         | Max Reward 4.0
Episode 20 | Step 3526 | Exploration rate 0.98         | Mean Reward 0.8         | Max Reward 3.0
Episode 30 | Step 5261 | Exploration rate 0.97         | Mean Reward 0.9         | Max Reward 2.0
Episode 40 | Step 7215 | Exploration rate 0.96         | Mean Reward 1.4         | Max Reward 4.0
Episode 50 | Step 9042 | Exploration rate 0.96         | Mean Reward 1.2         | Max Reward 4.0
Episode 60 | Step 10953 | Exploration rate 0.95         | Mean Reward 1.5         | Max Reward 4.0
Episode 70 | Step 12678 | Exploration rate 0.94         | Mean Reward 1.0         | Max Reward 2.0
Episode 80 | Step 14503 | Exploration rate 0.93         | Mean Reward 1.3         | Max Reward 3.0
Episode 90 | Step 16053 | Exploration rate 0.92         | Mean Reward 0.4         | Max Reward 1.0
Episode 100 | Step 17858 | Exploration rate 0.91         | Mean Reward 1.1         | Max Reward 3.0
Episode 110 | Step 19470 | Exploration rate 0.91         | Mean Reward 0.7         | Max Reward 3.0
Episode 120 | Step 21267 | Exploration rate 0.90         | Mean Reward 1.1         | Max Reward 3.0
Episode 130 | Step 23050 | Exploration rate 0.89         | Mean Reward 1.3         | Max Reward 3.0
Episode 140 | Step 24917 | Exploration rate 0.88         | Mean Reward 1.3         | Max Reward 5.0
